name,restaurant,city,description,type,tags
Premium Smash Burger,Hundred Burgers,Madrid,Doble smash burger con queso americano fundido y bacon crujiente. La combinación perfecta de jugosidad y sabor ahumado que define a las mejores smash burgers de Madrid.,premium,"smash,bacon,queso,doble"
La Mexicana,La Chelinda,Madrid,Hamburguesa con carne de vacuno premium aderezada con jalapeños encurtidos nachos crujientes guacamole fresco y un toque de pico de gallo. Una explosión de sabores mexicanos en cada bocado.,premium,"picante,mexicana,guacamole,jalapeños"
Kevin Bacon,Goiko Grill Fuencarral,Madrid,La icónica burger de Goiko con bacon crujiente queso cheddar fundido cebolla caramelizada y salsa BBQ ahumada. Un clásico que nunca falla.,premium,"bacon,BBQ,cheddar,cebolla"
Kevin Bacon,Goiko Grill Gran Via,Madrid,La icónica burger de Goiko con bacon crujiente queso cheddar fundido cebolla caramelizada y salsa BBQ ahumada. Un clásico que nunca falla.,premium,"bacon,BBQ,cheddar,cebolla"
Kevin Bacon,Goiko Grill Velazquez,Madrid,La icónica burger de Goiko con bacon crujiente queso cheddar fundido cebolla caramelizada y salsa BBQ ahumada. Un clásico que nunca falla.,premium,"bacon,BBQ,cheddar,cebolla"
The Original,Bacoa Raimundo Fernandez Villaverde,Madrid,Hamburguesa clásica de Bacoa con carne 100% ternera gallega queso manchego fundido tomate lechuga y salsa especial. Simple perfecta y deliciosa.,clásica,"ternera,manchego,clásica"
The Original,Bacoa Atocha,Madrid,Hamburguesa clásica de Bacoa con carne 100% ternera gallega queso manchego fundido tomate lechuga y salsa especial. Simple perfecta y deliciosa.,clásica,"ternera,manchego,clásica"
The Original,Bacoa Arturo Soria,Madrid,Hamburguesa clásica de Bacoa con carne 100% ternera gallega queso manchego fundido tomate lechuga y salsa especial. Simple perfecta y deliciosa.,clásica,"ternera,manchego,clásica"
Big AL's BBQ Burger,Big AL's,Madrid,Hamburguesa generosa con pulled pork BBQ aros de cebolla crujientes queso cheddar y salsa BBQ casera. Una bomba de sabor americano.,premium,"BBQ,pulled-pork,cheddar,americana"
Brisket Burger,Fat Matty's BBQ,Madrid,Hamburguesa con brisket ahumado durante 14 horas queso pepper jack jalapeños y salsa BBQ de whisky. El paraíso para los amantes del BBQ.,premium,"brisket,BBQ,ahumado,picante"
The Classic,Home Burger Bar Madrid,Madrid,Doble smash con queso americano cebolla grillada y la salsa secreta de Home. Jugosa perfecta y adictiva.,doble,"smash,doble,clásica,casera"
La Reina,La Burguesia,Madrid,Hamburguesa premium con foie queso de cabra cebolla caramelizada y reducción de vino tinto. Elegancia gourmet en cada bocado.,premium,"foie,gourmet,premium,queso-cabra"
La Reina,La Burguesia Chamberi,Madrid,Hamburguesa premium con foie queso de cabra cebolla caramelizada y reducción de vino tinto. Elegancia gourmet en cada bocado.,premium,"foie,gourmet,premium,queso-cabra"
La Reina,La Burguesia Serrano,Madrid,Hamburguesa premium con foie queso de cabra cebolla caramelizada y reducción de vino tinto. Elegancia gourmet en cada bocado.,premium,"foie,gourmet,premium,queso-cabra"
La Especial,TGB Plaza de España,Madrid,Doble carne de ternera con queso gouda bacon crispy lechuga tomate y salsa TGB. El bestseller de toda la vida.,doble,"ternera,gouda,bacon,clásica"
La Especial,TGB Orense,Madrid,Doble carne de ternera con queso gouda bacon crispy lechuga tomate y salsa TGB. El bestseller de toda la vida.,doble,"ternera,gouda,bacon,clásica"
La Especial,TGB La Vaguada,Madrid,Doble carne de ternera con queso gouda bacon crispy lechuga tomate y salsa TGB. El bestseller de toda la vida.,doble,"ternera,gouda,bacon,clásica"
Truffle Burger,Umami Burger Azca,Madrid,Hamburguesa con glaseado de salsa umami queso trufado champiñones salteados y crema de trufa. Sabor intenso y sofisticado.,premium,"trufa,champiñones,gourmet,umami"
Truffle Burger,Umami Burger Goya,Madrid,Hamburguesa con glaseado de salsa umami queso trufado champiñones salteados y crema de trufa. Sabor intenso y sofisticado.,premium,"trufa,champiñones,gourmet,umami"
The Good Burger,The Good Burger Recoletos,Madrid,Smash burger doble con queso americano cebolla grillada pepinillos y salsa de mostaza miel. Simple deliciosa y perfectamente ejecutada.,doble,"smash,doble,mostaza,clásica"
The Good Burger,The Good Burger Castellana,Madrid,Smash burger doble con queso americano cebolla grillada pepinillos y salsa de mostaza miel. Simple deliciosa y perfectamente ejecutada.,doble,"smash,doble,mostaza,clásica"
